Region, County Name, District Name, District Number, Charter Status, Eligible For Free Meals Count, Eligible For Free Meals Percent, Eligible For Reduced-Price Meals Count, Eligible For Reduced-Price Meals Percent, Other Economically Disadvantaged Count, Other Economically Disadvantaged Percent, Not Economically Disadvantaged Count, Not Economically Disadvantaged Percent, Total Count
10, HENDERSON COUNTY, ATHENS ISD,107901, TRADITIONAL ISD/CSD,1844,61.3,142,4.72,439,14.59,583,19.38,3008
10, ELLIS COUNTY, ITALY ISD, 070907, TRADITIONAL ISD/CSD,385,61.31,43,6.85,0,0,200,31.85,628
01, HIDALGO COUNTY, VALLEY VIEW ISD,108916, TRADITIONAL ISD/CSD,2158,61.39,343,9.76,728,20.71,286,8.14,3515
01, HIDALGO COUNTY, MISSION CISD,108908, TRADITIONAL ISD/CSD,8651,61.49,-999,-999,-999,-999,-999,-999,14068
01, HIDALGO COUNTY, HIDALGO ISD,108905, TRADITIONAL ISD/CSD,1858,61.54,69,2.29,803,26.6,289,9.57,3019
10, DALLAS COUNTY, ADVANTAGE ACADEMY, 057806, OPEN ENROLLMENT CHARTER,598,61.59,30,3.09,207,21.32,136,14.01,971
12, NAVARRO COUNTY, KERENS ISD,175907, TRADITIONAL ISD/CSD,388,61.59,-999,-999,-999,-999,145,23.02,630
04, HARRIS COUNTY, GALENA PARK ISD,101910, TRADITIONAL ISD/CSD,13048,61.82,745,3.53,4891,23.17,2421,11.47,21105
16, MOORE COUNTY, DUMAS ISD,171901, TRADITIONAL ISD/CSD,2661,61.87,436,10.14,34,0.79,1170,27.2,4301
04, HARRIS COUNTY, AMIGOS POR VIDA-FRIENDS FOR LIFE PUB CHTR SCH,101819, OPEN ENROLLMENT CHARTER,430,61.96,25,3.6,228,32.85,11,1.59,694
12, MCLENNAN COUNTY, LA VEGA ISD,161906, TRADITIONAL ISD/CSD,1933,61.96,116,3.72,818,26.22,253,8.11,3120
02, SAN PATRICIO COUNTY, ARANSAS PASS ISD,205901, TRADITIONAL ISD/CSD,1073,61.99,65,3.76,0,0,593,34.26,1731
08, MARION COUNTY, JEFFERSON ISD,155901, TRADITIONAL ISD/CSD,686,62.03,34,3.07,100,9.04,286,25.86,1106
17, LUBBOCK COUNTY, BETTY M CONDRA SCHOOL FOR EDUCATION INNOVATION,152806, OPEN ENROLLMENT CHARTER,108,62.07,-999,-999,-999,-999,40,22.99,174
20, BEXAR COUNTY, SOUTHSIDE ISD, 015917, TRADITIONAL ISD/CSD,3750,62.16,256,4.24,1338,22.18,689,11.42,6033
04, BRAZORIA COUNTY, ANGLETON ISD, 020902, TRADITIONAL ISD/CSD,4403,62.29,481,6.81,277,3.92,1907,26.98,7068
13, GONZALES COUNTY, GONZALES ISD, 089901, TRADITIONAL ISD/CSD,1583,62.3,-999,-999,209,8.23,651,25.62,2541
02, DUVAL COUNTY, SAN DIEGO ISD, 066902, TRADITIONAL ISD/CSD,943,62.33,-999,-999,-999,-999,-999,-999,1513
10, HUNT COUNTY, CAMPBELL ISD,116910, TRADITIONAL ISD/CSD,179,62.37,16,5.57,0,0,92,32.06,287
14, EASTLAND COUNTY, RISING STAR ISD, 067908, TRADITIONAL ISD/CSD,121,62.37,-999,-999,-999,-999,57,29.38,194
08, CASS COUNTY, AVINGER ISD, 034902, TRADITIONAL ISD/CSD,73,62.39,-999,-999,-999,-999,28,23.93,117
10, DALLAS COUNTY, MESQUITE ISD, 057914, TRADITIONAL ISD/CSD,23876,62.4,1832,4.79,6769,17.69,5788,15.13,38265
10, DALLAS COUNTY, GRAND PRAIRIE ISD, 057910, TRADITIONAL ISD/CSD,16637,62.46,3048,11.44,236,0.89,6717,25.22,26638
07, ANDERSON COUNTY, WESTWOOD ISD, 001908, TRADITIONAL ISD/CSD,853,62.49,55,4.03,181,13.26,276,20.22,1365
12, LAMPASAS COUNTY, LOMETA ISD,141902, TRADITIONAL ISD/CSD,200,62.5,-999,-999,-999,-999,70,21.88,320
11, TARRANT COUNTY, LAKE WORTH ISD,220910, TRADITIONAL ISD/CSD,2025,62.54,140,4.32,680,21,393,12.14,3238
12, BOSQUE COUNTY, KOPPERL ISD, 018907, TRADITIONAL ISD/CSD,111,62.71,17,9.6,0,0,49,27.68,177
06, MONTGOMERY COUNTY, SPLENDORA ISD,170907, TRADITIONAL ISD/CSD,3276,62.75,348,6.67,30,0.57,1567,30.01,5221
08, CASS COUNTY, LINDEN-KILDARE CISD, 034905, TRADITIONAL ISD/CSD,411,62.84,15,2.29,18,2.75,210,32.11,654
06, BURLESON COUNTY, SNOOK ISD, 026903, TRADITIONAL ISD/CSD,381,62.87,31,5.12,0,0,194,32.01,606
